Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables
Russia,2009,Wind,19652.018537899625,4580.207604337447,5799602396.725469,1480116352,22523991297832.637,473519.2944252832,78195.74442662261,17116.25952609532,345594.6835902192,618069,1,4447970126.507553,0,3.019921513428878,1862.9779728246071,241.22304756054356,9.43282581719874,94.7944943434092,83.36822301848845,87.97507572679504,165.2620006875752,0.1229887752752358,0.2777064358370862,369568788.45630187,811526302.8654318
Russia,2002,Solar,92232.75985554076,13825.923062718304,483774920.4087518,956822416,160151218324972.66,557054.7409273331,69162.79561218484,41953.28329879954,644875.8226291124,172535,1,3918144915.288843,0,-1.5277694339621863,1207.7783993760856,238.45158424445407,13.64232153878679,16.107809066940337,98.2971462568446,50.28989858786604,199.06193849165493,0.8224434355133388,0.4063077095430827,989546831.3618634,237133856.32765383
France,2021,Solar,15874.368789400996,37065.21953008008,9695986802.76142,141868711,29920189107192.05,362843.46335623495,21913.43086464864,52043.303952932976,495040.0169537518,49980,0,3004301657.375755,1,2.2428993582466568,182.0224961580567,117.83057688591776,11.70098767352246,77.90546725151569,80.88151329771729,55.432665075640855,414.76623085856414,0.7927679872967104,0.2012649340992354,336020933.69235057,163566485.09231982
Brazil,2012,Wind,49778.16380007741,15586.838645830916,1196236036.3137758,11950560,82747666345872.62,156485.61020927707,67770.20169442418,6608.348054263067,993987.8141283932,947071,0,8325133466.977037,1,6.102540220476989,2976.1982476363864,262.0566829565207,3.5841141522009936,94.32451676669024,90.80286867115028,2.1137945441497497,760.0309378322723,0.3968223899711534,0.0681017056426325,389884079.1995951,43608938.61550281
USA,2014,Wind,10964.76878969858,18139.55911672038,1066270663.4283148,1292204876,18467518414409.293,267626.7806855937,64471.760740990525,61961.86094444441,988439.475269916,104091,1,8760259243.293827,1,15.7341415061352,361.1325401408033,257.0263785996817,4.537370543476116,8.619588657938005,25.70377260405696,10.374564828557077,463.9979814338258,0.3695041995380852,0.265601067058801,247514639.43529084,29689438.54668113
Russia,2009,Wind,39181.96381513726,12590.366582428363,4905855151.78947,1469192168,156269968480796.5,57761.60173015528,39731.684918949046,19596.55910957786,433430.6477504753,363396,1,5080603218.625011,1,29.254094522113803,1300.394140914975,151.84402554555646,8.209483318967376,16.865309829600193,59.46173884998807,74.76308860040986,722.3954551974952,0.2498680276157763,0.4659801534950132,155894511.56877717,855144388.3315291
India,2015,Wind,86555.5519220325,19311.890412761288,9208688755.757612,1280046658,39326893668632.54,254296.0903848903,60371.7512486033,91750.27559916492,340001.6626945092,958575,1,5882827965.197433,0,14.755031636286066,1695.6228724771431,206.88380706726787,11.091212640252795,58.902528117303376,82.29869620621719,0.3755471840435231,509.445182456069,0.8716587993183543,0.3266659672522616,16463762.945340857,494971300.8480059
Germany,2009,Wind,83761.87844780517,1229.637303775069,365455333.0475095,243157026,71645481937488.23,685141.8077428994,53110.820697283656,52593.75123083374,511305.3694808794,836389,1,2973750580.6029253,1,22.1561656104291,2115.955899149032,171.81836406693952,4.23626304177314,46.49024234194359,29.378302009520983,54.51315503584853,546.0386541420606,0.9975830225784932,0.1734729432665441,593532945.0396562,499960961.2569281
Brazil,2001,Wind,56404.930033996,19590.357430833064,6949496692.5526495,388558675,9539149691566.717,669759.0500153877,81420.97208381162,36201.781643851966,538398.6661820333,185446,0,1788963315.7645836,0,8.927845200244192,2993.3928649225286,258.1643595488763,7.772396377773454,74.18014028431283,54.05591844999245,45.072767921981225,113.77048774269316,0.929036490169759,0.0595960931867374,491602047.2224733,769002517.611759
India,2008,Solar,86177.44391573302,34735.344032600726,3874827344.358037,1283302318,87758600331229.73,448254.11671314365,25472.083643174225,79224.69023554826,564623.8956078741,565655,0,8369998454.735769,1,33.38053832385554,693.8538597778886,268.78719098694427,7.273588294990695,99.21987666691204,9.708265873796728,6.334502924141628,101.79063044929669,0.9767324273884928,0.1068783510945824,651486778.0567595,383923716.0485025
China,2001,Wind,20257.898443840822,25029.888748843136,3698334279.9087234,757105006,98994402554857.6,117603.42501574632,33435.396324511006,67617.43495435781,407025.30902088014,635109,0,3445761395.1621723,0,32.795692097456595,1551.6588565720356,246.69470772898688,4.714363760603982,81.66154075989192,60.236399856229816,65.64976494712623,961.988324239973,0.4453817124931833,0.2118747112981988,171675987.2661864,810448701.952397
India,2012,Wind,25423.05408758865,46536.88902470066,2005033694.1615207,1014131977,191260914901728.6,389885.06289424497,30164.66492191364,49985.04315330673,355591.8403818544,42127,0,8272358356.34295,1,1.6965423368507064,1158.5650883418589,227.0853532421972,5.773593746600531,14.121825723488444,41.67068697638135,48.88410160262625,638.0744274811942,0.1917245444708988,0.1750205336682092,507428720.8223938,814584102.8067341
Russia,2018,Solar,41942.55382348479,18067.84905493201,9043695634.653849,18863432,132602090490888.16,804430.0309632993,52089.69379372963,74409.80735449777,675045.0852284878,558120,1,4786743616.836774,0,13.382132391325218,1303.5199172321695,122.61389297708968,3.1447188067711367,66.13198683879125,55.27608479000131,70.10567144408716,971.5936148135106,0.7199879396081554,0.3275435179756059,962272556.4751472,817196149.0288982
France,2017,Wind,30824.64531425479,36298.524449198514,864455661.0326066,45731644,111727088552554.69,11155.139927800128,91085.41036342924,39459.47122147364,952651.2886256316,832722,1,5141007990.761755,1,22.478897317583908,2977.176392859341,298.6822464173693,8.392098348510299,80.61607510801272,53.41325843585445,46.96355658429543,800.1254369649741,0.3094244775340909,0.1978970028935402,36525657.11214096,74793453.96142663
India,2014,Solar,56260.07885612227,38771.77936436047,474499071.9450367,685826997,13889316351901.885,319201.5421995855,47576.19155259826,20247.973387393788,361081.3545515825,231336,1,5918476567.942098,0,19.56488010015469,1492.6138336218492,126.39328547147208,3.2014257732640745,65.72014771700545,68.41965867528505,97.51412317053226,42.73270727055028,0.897525703578829,0.2172008604727355,498843623.0314565,631429810.7628394
India,2010,Wind,3782.8203802816975,29537.89877484237,5974605171.680393,1211640055,102603653806408.16,471998.2127463665,24110.872664028502,6237.925802550504,679418.0611446332,808491,0,8364928750.381004,0,33.66054518815095,2580.2988711999583,242.55364771899775,9.500482881882094,95.3598696367052,5.5636305568387945,90.8723435114212,273.4518829482764,0.4570141316467075,0.1196026066125397,872309938.6136687,391754458.1207364
USA,2022,Solar,33851.8503033385,27673.25846130746,9513058417.573631,7940294,176764147972608.12,763942.8953133791,49028.20408532313,85068.63565706706,48682.14279708827,56376,0,4661780477.881387,1,31.51964983352237,1907.487372549853,242.62598551168097,11.140999094205718,3.5618425513252894,33.47479792070656,87.50847252131355,203.94806986727252,0.0403962077235762,0.4918958718870274,995103700.549723,482125602.5958996
Germany,2005,Wind,70365.86648336242,25576.88028471532,9909486906.72073,1357348361,14514954190674.717,95086.43910600735,88757.49895245019,45076.28157528101,319883.85130759975,296342,0,80352303.91144851,0,0.978356581911486,2525.1897874074207,120.07675063547454,9.477401963677622,77.93017161365078,64.64752512809858,86.55221577146972,720.769114805058,0.0836844976189908,0.4687968005421655,656347915.7017033,515891930.7967533
India,2001,Wind,78480.83702419525,6736.17999610027,155699341.32529718,1150645705,181421303107693.03,62290.90645043382,60042.63139967221,96629.51454962612,26585.68460505716,602062,1,347132971.11899704,0,17.544823914273508,535.283618842665,294.9690746846075,12.316374629492856,61.946456069168455,45.38432514329849,97.06651216012516,858.1847622710851,0.9173512292880176,0.2504755898759395,35367282.09466233,760007278.5064442
Brazil,2002,Wind,7848.323006986146,35570.68502628876,9938619520.338808,905031936,21873045310997.297,59701.93895260801,92330.00432613216,13766.18209718326,196744.24161239064,958210,0,691345090.8109139,0,4.4231470933287085,971.4599764680304,289.3290953615377,13.912162764698897,25.176181366055907,65.66371486334941,16.72315498953889,450.62422860138935,0.1326064275845633,0.081525337950965,597624247.8299087,359584406.0788765
Germany,2015,Solar,29167.693677630486,35187.05529983608,8801013401.240255,1374881359,183342542437639.47,752809.6530355581,97932.8719232759,37396.08930238233,77329.75565647932,627016,1,268453111.2473339,0,25.061557210782752,1316.36493117759,201.9046538048364,8.627470758464257,42.76315606220701,32.73235047014376,77.18408791927872,281.48537908230475,0.5812429394243568,0.4042475214216403,5221885.606724118,701355053.562102
Germany,2009,Solar,5329.14337991147,35151.61625416763,4036431009.342106,891971462,125258149941725.66,627147.2771782922,43406.17581020141,36364.64935678648,935166.3744840148,40955,1,9877745836.643265,0,-1.4747717607663056,481.0631134495868,159.35442729137043,3.9027427045181664,37.9863352351402,31.53954320068938,6.656573747277061,476.9528293877688,0.7276942236785799,0.1639827813414534,880863273.8545529,767032439.2278645
France,2000,Wind,41553.63620884953,37031.07767325093,4944095096.575339,523515210,131298370389045.8,416156.4138678011,95883.9348682905,84341.37721826049,549105.3614943222,937281,1,5156596035.118958,1,-7.75269671706614,2740.284380998107,268.45155326762847,9.901920785632427,35.10546179722876,94.49381305751297,79.23281131684377,730.782697101413,0.792724186595622,0.2063661615169773,25690967.1058243,74479413.68479107
Japan,2023,Solar,31038.785057032877,41579.35304834365,6497451422.406721,334109135,171033374315944.88,782740.2617597777,12170.066255858535,94369.75042264751,548137.6208959586,780614,1,7889794115.025395,0,18.9821843157474,698.6569496005793,241.30394193625085,3.650202194365092,55.909215236759465,18.927043502542507,20.13547552579459,363.2225045373988,0.3438134540908494,0.2276821687066482,668129343.5516635,72326992.23760238
China,2017,Wind,23202.87141054954,39789.50270598543,4221217088.685588,190249038,18583696788948.453,110779.88727675284,95941.83821515052,43014.22244098185,70837.98304851004,796805,1,8793447164.694773,0,21.313995184765,680.2882045388023,180.6344655182044,4.638621752375921,2.861097572367288,67.456805750982,57.93134100130876,723.3440388151257,0.2285284709520043,0.2091273692910882,739404620.2663155,160942087.42887804
Germany,2016,Solar,78694.06672162988,28881.675656613173,617372647.698273,1494059848,32169762581227.57,817225.0289410049,83022.75060219342,19545.891878441864,244650.9983417172,497256,0,4243212107.903781,0,16.75599649685655,439.2351298182465,194.3171488849501,5.17781928760768,19.266757479861184,67.08580251724754,88.14217181604826,704.497126381613,0.811701738736369,0.2835077499136005,634032925.9882017,347821023.56432074
Germany,2008,Wind,37036.17354358745,48597.87715820904,8294915907.518588,645740857,138567213135698.48,907201.708410988,43539.07731215478,39921.568027304806,213294.1114638967,597893,1,822219183.8712834,1,17.866328457284006,181.642079229888,292.68874285401864,5.708876329176188,78.76195427925497,50.11694636448433,18.860268321471587,25.13918445144077,0.1094084230414399,0.1619554913520877,997180625.5928282,431496084.6444269
France,2000,Wind,37182.662892124,1227.8666803809158,5796309684.073065,4281459,91506025978673.52,118719.53332694693,98030.87903891182,27784.556490101724,935098.986700024,883303,1,6632285902.921684,0,8.71921906338983,1352.957030740247,187.8493621868961,14.76308066291162,72.7971158726041,0.1209398595453326,63.91117602181271,436.1060307696678,0.435807852977718,0.3977526704041087,922911927.9687892,97470761.31786744
Canada,2004,Wind,72411.58130775572,15018.2781904209,6096467846.84591,650835948,39243279923889.29,156363.94647085486,19755.08579769394,78437.16533846298,178032.80040381034,211404,1,3002497355.907926,1,5.0212345105467495,1919.4754533797932,105.19439799662172,4.588255269641911,76.1590047880811,22.643399951201012,24.049878960285987,608.0376393564308,0.1985040566388044,0.1212608007304984,143450279.2808258,156908563.56089377
Brazil,2009,Solar,1087.2455941344515,30299.410872002856,4686346730.345129,932729473,153961955409464.28,940709.3321547968,99651.27086611142,22056.049410297823,548844.515287326,433483,0,9648434740.898584,0,-6.260385185104158,1591.1716588631728,253.8341153306272,13.363754671766682,64.51515260165573,39.39151334613199,79.02994399160357,980.0074996643276,0.8536272189026631,0.0732541648772471,114403024.65248103,486123276.81804806
Russia,2017,Solar,42287.8570905412,23369.266725762747,2910853421.6483235,208027039,177664757899533.78,711518.5218726286,19128.030473645314,66066.21852197312,952003.158792462,744729,0,9904569944.852734,0,21.88633019050447,1019.286581793336,213.9183466468748,9.817077037639685,66.05337325842278,95.64102116516072,97.2404210594941,610.8692826215175,0.1385725408373902,0.1166751953545981,64490338.70745933,222020834.77436256
Germany,2005,Solar,31484.047277678143,19026.152405226207,3879186749.842664,605875088,69971580489295.6,898209.5680731558,76541.9784543946,22011.57665554932,391142.2908702147,277566,1,749174409.7550696,0,-3.048262003019538,1465.6079733917938,219.90199429508027,1.6234637566804155,7.627066717091779,71.92674320630542,5.1635145713731845,826.2800517314408,0.5474559572388806,0.108218438102958,943564042.1095836,934373718.6226448
Canada,2019,Wind,21125.807760837903,22932.005880517117,3058277493.990165,215536329,29094398391726.883,14640.69200806456,66061.66820763214,65530.3815463271,785199.286264793,568374,0,3264988094.3105183,0,11.58094173230371,2625.360113423824,151.40015438082855,2.7876125469092616,69.40395311085939,54.55118745347989,51.52749827267237,980.9596900703712,0.1263682549998338,0.4372176275754154,129534198.17780954,527825646.76459485
France,2004,Wind,84722.34314555574,28543.599373188325,3499257122.4451776,818270191,32999698200055.773,272460.8043093534,78303.25599506163,84839.3971199805,256249.39121619007,991569,1,1258308970.2554266,0,36.6457537424125,306.2367938396877,112.15940695264524,0.0937099732761825,29.735207102615004,45.76239440825438,33.650771680002755,17.31073719485412,0.5777868021736561,0.0645854771955501,414977985.2138016,268855544.0075425
China,2000,Wind,91171.2971038426,12239.415176578024,6876746726.277974,987437585,77436427760834.75,840126.8068434466,93546.67609649284,29873.4498498056,614841.741867955,192775,0,281534515.7992208,0,17.545606061196626,747.7349770340485,135.41447003268885,3.82683712814943,60.41136944577343,71.90659153803087,0.3453915974013677,391.794414775911,0.5803687281657195,0.4184125822410482,702185670.3710835,841540005.4109105
Russia,2002,Solar,44993.26108579184,25146.840734235004,571085489.8317612,435397577,144496346877334.84,318535.9028698824,38301.60557388678,23337.88461327788,812895.0557866828,196694,0,6737475321.055097,1,39.4073860466378,2326.29282540759,180.22715914064744,13.98668037178344,1.57291835606288,61.7989369661038,66.27466399135609,851.8642372034243,0.1858699610836475,0.3963992837665026,490726509.0593194,378922401.70942646
Brazil,2013,Wind,1577.9868019994642,664.8441299501601,2494594851.0595365,1342298579,25071042956265.117,109005.17491338468,36927.34171991145,23145.0057927985,624919.157066731,306378,0,3008189777.584435,0,21.161828533165227,151.36158398280386,251.5538446975229,6.7025990332618175,21.77504967151421,71.46402974434389,32.25427681079627,980.1659351235422,0.7333212534038505,0.1138390508847874,418041476.6181251,682741640.7421844
France,2018,Solar,36387.44324347067,43257.53470530888,2658409026.3909225,729471036,85574647574798.45,167085.22983386813,68197.78623661495,93649.21841146558,172763.1109970776,689924,1,5339039434.144018,1,8.968939860703003,1355.2290629374609,284.7961390981495,7.759745989077938,55.42153940600896,89.17391151082585,70.97403206480604,35.411610702521415,0.6146633438470995,0.383737050291545,891079259.7053508,540471011.002625
USA,2016,Solar,80231.39528221701,18019.469069995645,4926187305.912087,662628516,189343726218621.47,377298.99334885465,36604.4801750129,21759.46839795635,690355.7436765666,976546,0,7010735010.421344,0,19.551975358010047,1864.5501671362251,165.0547158315589,1.629207045028804,47.15794674341973,12.341509603675505,16.329630317175603,830.2728045164831,0.959261963409054,0.1258881818051297,987071202.871984,668767618.5785983
Germany,2021,Wind,50112.56212140199,43313.11365500686,7910196685.732233,1213271863,132491239372140.69,433163.0606370011,58890.50357964558,82722.09428910816,93205.66359345046,426505,0,6477269526.653459,1,32.421132304739125,163.0187727243109,106.00512719848976,2.03324222406927,84.94467079320269,6.829400687268561,39.67453011448181,334.0691597180687,0.4592686439879411,0.3266837605538794,436774236.9548519,81965996.17495695
China,2013,Wind,6055.649786018873,27585.237435450985,1882700108.8333197,1261733305,105399365921006.38,847426.1494511716,4962.898935580316,32552.542689236863,308818.75915395026,609089,0,2296733267.5649657,1,24.122401836134195,2454.8212085303803,140.66082259819183,1.5944574664608702,95.89905760435217,13.363703037165864,4.730380966394876,192.3158795164014,0.5554827148618678,0.1312184016424278,62085504.796216846,711320150.1241429
Canada,2002,Wind,56286.23602091024,2227.7336602183905,9723321126.964935,685981383,49568528711088.38,899852.617747812,3249.7504431202897,20681.492177249635,178032.5368915437,781256,0,8365980350.564254,0,2.0894200906925207,1300.7209740550245,278.60228008876936,13.412760128111202,97.227105349289,33.31403569860384,81.42281039641253,620.7564636719989,0.666737517015567,0.1197678910826729,520726500.8555912,838426618.449813
Australia,2015,Solar,57524.902125687855,19094.6907586243,2979810349.895072,1172354049,134225000630542.44,995085.9955043088,90101.56063906256,52820.84871698856,757429.6197432958,813456,1,4815268633.0418825,0,14.6312198641211,2681.537503892444,135.45170003291685,13.133635866942743,68.94936359929797,67.88219051650121,64.63479446066218,702.2424508493664,0.4006193286368705,0.3136962542604554,500759945.1993239,683036584.0258664
Brazil,2011,Solar,25460.77232937853,17997.21098751317,801360121.6211354,1287627478,183542353320079.44,330583.6885539693,84746.95644756319,51333.85940853259,61208.624104867,421736,1,138059933.14709944,1,37.057776444061474,2054.2405913902653,172.44686460024877,14.835880440930708,77.60804271249141,82.61349401447447,84.82151864737804,133.23216087654316,0.285672469399821,0.3555912286273272,391832484.457622,436942902.97264594
China,2015,Wind,84080.51717496585,36007.2141413297,298174926.5705228,1395772027,99307529470915.22,62721.428771562205,70706.18484942216,62975.040133740025,253938.6027222722,225962,0,867408638.3508992,1,2.3588302150280995,1346.6789962238518,292.42969163942803,13.456570571105663,83.39913775382085,19.37828508315408,79.48557484393204,417.7500711970667,0.9386070987592802,0.3254418058929969,166346052.89124334,881499504.3084377
Russia,2022,Wind,84201.27549166404,27760.16480394416,9912777571.624329,1294478571,66634036174713.336,990252.1021723103,33159.2095753944,17806.950708148346,301334.7202279077,824533,1,8915543457.143066,1,26.22681218886169,2118.2986263742296,269.3031150026922,2.528372889021397,42.834359628551454,48.69177725100289,80.34062549179859,333.0729146363624,0.5558581134810638,0.2722656047257117,703634668.4263519,719179789.0257792
USA,2014,Solar,89112.98199151411,43304.79680022438,2616267493.1680384,1112686632,119775996465130.8,232802.1500041268,48959.20597152607,71329.07666226519,936800.1085286426,432256,0,3065755329.9264293,0,37.39906065807734,299.3341508720679,185.99579738904748,11.02129775535612,7.942204369364958,14.742951589965417,38.68189596261215,265.9642866243672,0.8552712298151479,0.3168980565293765,254445143.40739992,198733278.48870265
France,2009,Wind,81776.58591372558,30921.251716579747,3888148722.339559,1437051748,130499378970554.2,433801.07057265856,36586.95797886175,44558.49630894541,855306.1188543326,915339,1,1096112252.502253,0,17.837064195112728,1403.8574803292506,125.95936508936587,4.881257279471128,41.20284435696481,71.01988457564514,98.80814213890636,525.3477358609852,0.3324971903042882,0.4409374161765976,780492937.8782198,436967967.8642385
Russia,2001,Wind,84376.67979691783,11959.110756964506,9080098590.54835,290894850,36251871150022.31,896992.7092835499,52320.91786576596,20755.591284066184,787376.9565714701,195559,1,7847489240.41186,1,15.065674950634197,2900.916849802015,116.4407021789546,2.312362127206961,6.688120707471801,31.634326035634007,31.731502842148696,149.36007599780962,0.920798430712607,0.4299830516413076,33993892.22653566,764346344.1530999
